Time,User,Mac_ID,Model,Line,Status,Config,LOT_ID,Software,Detail
'2022-12-31 10:09:00,datdq,DCRY23#134,SC-P,#134,0,NA,NA,,NA
'2022-12-31 10:09:41,datdq,DCRY23#134,SC-P,#134,1,NA,NA,,NA
